eval/mean_reward,model/parameters,eval/success_rate,time/total_timesteps,eval/mean_ep_length,model/extractor_type,eval/best_seq_prediction_mse,rollout/success_rate,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,eval/seq_prediction_mse,time/fps,train/loss,train/std,train/policy_gradient_loss,train/clip_range_vf,train/value_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/clip_range,train/learning_rate
-248.7213897705078,5865051,0.0,20000,207.5,"TransformerFeaturesExtractor",,,,,,,,,,,,,,,,,,,,
,,,32768,,,0.970589742064476,0.01,213.92,1,-253.81973266601562,58,0.970589742064476,561,,,,,,,,,,,,
-263.8351135253906,,0.0,40000,243.6,,,,,,,,,,0.3210908770561218,0.740818202495575,0.14275390254333614,0.3,0.7175169132649899,0.76227903,0.846673583984375,10,-4.256815433502197,0.11162769794464111,0.19934464000000002,9.9377408e-05
-219.6552734375,,0.0,60000,139.4,,,,,,,,1.0629078149795532,,,,,,,,,,,,,
,,,65536,,,,0.0,294.85,2,-283.895263671875,159,1.1170082986354828,411,,,,,,,,,,,,
-274.8647155761719,,0.0,80000,245.4,,,,,,,,,,0.11259110271930695,0.740818202495575,0.10811000354588032,0.3,0.08811078239232302,0.23620497,0.706439208984375,20,-4.256815433502197,0.5755072236061096,0.19868928000000002,9.8754816e-05
,,,98304,,,,0.0,300.83,3,-283.0118408203125,237,1.058242267370224,414,,,,,,,,,,,,
-225.8370819091797,,0.0,100000,111.2,,,,,,,,,,0.014819235540926456,0.740818202495575,0.020486688410164787,0.3,0.07987367901951074,0.016827017,0.2872161865234375,30,-4.256815433502197,0.2216799259185791,0.19803392,9.8132224e-05
-256.7102966308594,,0.0,120000,234.9,,,,,,,,0.9939098656177521,,,,,,,,,,,,,
,,,131072,,,,0.0,302.54,4,-285.7525939941406,341,1.0871126234531403,383,,,,,,,,,,,,
-259.3031311035156,,0.0,140000,256.9,,,,,,,,,,0.006571047939360142,0.740818202495575,0.011239741917233915,0.3,0.08089415566064417,0.013042328,0.2315185546875,40,-4.256815433502197,0.448272705078125,0.19737856,9.750963200000001e-05
-249.1499481201172,,0.0,160000,188.3,,,,,,,,1.1032354295253755,,,,,,,,,,,,,
,,,163840,,,,0.01,318.25,5,-292.2739562988281,446,1.1331186473369599,366,,,,,,,,,,,,
-284.89703369140625,,0.0,180000,288.7,,,,,,,,,,0.0021898578852415085,0.740818202495575,0.0038610332878306506,0.3,0.07584309265948833,0.008717517,0.15496826171875,50,-4.256815433502197,0.5741911828517914,0.19672320000000001,9.688704e-05
,,,196608,,,,0.0,323.28,6,-296.6571960449219,528,1.092807984352112,372,,,,,,,,,,,,
-261.39715576171875,,0.0,200000,244.6,,,,,,,,,,0.003158779814839363,0.740818202495575,0.0032230776676442476,0.3,0.07404437474906445,0.007178248,0.1260833740234375,60,-4.256815433502197,0.6177533566951752,0.19606784000000002,9.626444800000001e-05
-272.060546875,,0.0,220000,242.2,,,,,,,,1.064575719833374,,,,,,,,,,,,,
,,,229376,,,,0.0,309.86,7,-291.7636413574219,638,1.0945434808731078,359,,,,,,,,,,,,
-234.86474609375,,0.0,240000,213.1,,,,,,,,,,0.0008425042033195496,0.740818202495575,0.0029705438937526196,0.3,0.06995831388048827,0.0062811757,0.108612060546875,70,-4.256815433502197,0.6184459924697876,0.19541248,9.564185600000001e-05
-264.63446044921875,,0.0,260000,291.5,,,,,,,,1.2129991888999938,,,,,,,,,,,,,
,,,262144,,,,0.0,318.62,8,-285.5302429199219,751,0.9826359510421753,348,,,,,,,,,,,,
-290.2926940917969,,0.0,280000,272.8,,,,,,,,,,0.0010920539498329163,0.740818202495575,0.001782138936687261,0.3,0.06835735747590661,0.0053111836,0.080364990234375,80,-4.256815433502197,0.5893548429012299,0.19475712,9.501926400000001e-05
,,,294912,,,,0.0,311.22,9,-296.1562194824219,834,1.1921427190303802,353,,,,,,,,,,,,
-260.9210510253906,,0.0,300000,183.4,,,,,,,,,,0.0029882341623306274,0.740818202495575,0.0014448621950577945,0.3,0.0727206552401185,0.00582188,0.0821044921875,90,-4.256815433502197,0.518622100353241,0.19410176,9.439667200000001e-05
-267.7839660644531,,0.0,320000,299.2,,,,,,,,1.1131898880004882,,,,,,,,,,,,,
,,,327680,,,,0.0,306.54,10,-297.2228698730469,946,1.1008661687374115,346,,,,,,,,,,,,
-280.9676208496094,,0.0,340000,283.7,,,,,,,,,,-0.005760625004768372,0.740818202495575,0.000800955829618033,0.3,0.06632337751798331,0.004230516,0.0651702880859375,100,-4.256815433502197,0.5298374891281128,0.19344640000000002,9.377408e-05
-260.4858703613281,,0.0,360000,251.7,,,,,,,,1.1697866201400757,,,,,,,,,,,,,
,,,360448,,,,0.01,303.12,11,-295.0404052734375,1064,1.048407405614853,338,,,,,,,,,,,,
