time,npos,epos,h,alpha,beta,phi,theta,psi,p,q,r,TAS,ail,ele,rud,thrust,ail_cmd,ele_cmd,rud_cmd,thrust_cmd,vn,ve,vh,mu,chi,nx,ny,nz,nx_ref,ny_ref,nz_ref,Fx,Fy,Fz,Mx,My,Mz,lon,lat,lef,lef_cmd,Cz,delta_Cz_lef,Czq,delta_Czq_lef,Cm,delta_Cm_lef,Cmq,delta_Cmq_lef,delta_Cm,delta_Cm_ds,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9
1.000000,200.402132,-0.267031,4997.607241,-4.737792,-0.321889,-18.903652,-7.556191,1.972071,80.262466,2.400065,5.777457,199.201674,14.300779,-4.786844,5.843490,3549.568941,14.300779,-4.786844,5.843490,3549.568941,199.231966,0.456343,-11.052477,-3.180624,0.131236,-0.112717,0.129978,0.963573,0.018781,-0.191187,1.901423,-13828.065704,11852.444852,87866.582311,-137678.483279,40059.235866,-54799.538886,122.424997,31.426805,0.000000,0.000000,0.304063,-0.040405,-29.500000,3.537431,-0.033926,0.036008,-3.528030,2.742079,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1.100000,220.325329,-0.221396,4996.501993,-3.917542,-1.614913,-10.951829,-7.176261,2.471563,18.504147,6.013617,0.899153,199.067117,-0.091235,-3.323056,4.039064,522.207930,-0.091235,-3.323056,4.039064,522.207930,199.850223,0.479759,-12.689719,-3.654851,0.137544,-0.135725,0.154666,0.652695,-0.010803,-0.033830,1.626791,-12898.716685,14103.688672,59518.118167,2190.291424,23755.845110,-37999.189618,122.424998,31.426985,0.000000,0.000000,0.242780,-0.044371,-29.500000,3.028876,-0.043338,0.037024,-3.865973,2.310627,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1.200000,240.310351,-0.173420,4995.233021,-2.804427,-1.841873,-9.097421,-6.567788,2.455292,19.214936,7.829676,-1.777368,198.948866,4.217501,-1.945260,2.084114,89.806277,4.217501,-1.945260,2.084114,89.806277,199.206601,0.652023,-14.232045,-4.102226,0.187534,-0.131091,0.161078,0.290588,-0.016712,0.004002,1.271529,-12043.757969,14688.394016,26498.257273,-32975.713553,5296.953109,-36502.882237,122.424998,31.427165,0.000000,0.000000,0.163508,-0.052045,-29.500000,2.338745,-0.051496,0.036178,-4.324576,1.725129,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1.300000,260.231011,-0.108218,4993.809817,-1.599632,-1.758116,-7.143515,-5.817316,2.166883,4.289066,8.162244,-4.646681,198.871644,0.332556,-0.614908,-0.665780,19.612932,0.332556,-0.614908,-0.665780,19.612932,198.794769,0.755144,-15.457681,-4.457921,0.217643,-0.122464,0.111239,-0.073016,-0.021107,-0.012476,0.914112,-11186.883820,10143.6732494.483041,-6936.312829,-93761.677753,204434.943350,-16684.099292,40624.643400,122.424992,31.427355,0.000000,0.000000,-0.188823,-0.067333,-29.983566,-0.318776,-0.052775,0.035043,-5.465493,0.259671,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1.400000,281.456490,-0.991895,4997.288899,2.556491,-0.428450,-26.380906,1.362305,-1.447935,19.826655,1.286504,-0.056458,200.597160,9.685950,0.462879,0.806087,544.997628,9.685950,0.462879,0.806087,544.997628,201.378886,-2.446590,-3.931642,-1.123052,-0.696063,-0.068044,0.073052,-1.073470,-0.091818,-0.371159,-0.177863,-6749.793979,6661.497832,-97887.822747,-82360.595964,-24819.437991,-21690.778268,122.424990,31.427535,0.000000,0.000000,-0.205082,-0.066980,-30.011298,-0.371467,-0.059671,0.035147,-5.464661,0.260226,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1.500000,301.594379,-1.236554,4996.895734,2.652355,-0.439096,-24.398281,1.476186,-1.508256,-17.033900,-0.606631,-2.115445,200.502199,21.500000,-3.334755,-1.025708,6549.285854,21.500000,-3.334755,-1.025708,6549.285854,201.003524,-2.851571,-3.932669,-1.123877,-0.812782,-0.021538,0.093150,-0.936353,-0.047299,-0.319790,-0.025959,-8513.260978,8494.190503,-85384.414156,-156924.302097,26550.273331,-28796.927107,122.424987,31.427717,0.000000,0.000000,-0.178652,-0.066682,-30.030471,-0.407895,-0.020709,0.035223,-5.464086,0.260609,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1.600000,321.694731,-1.521711,4996.502467,2.572633,-0.396676,-26.106553,1.331009,-1.673829,-87.182328,1.455235,-5.148981,200.457129,-20.424810,-0.882174,-3.840731,911.087426,-20.424810,-0.882174,-3.840731,911.087426,200.772267,-3.147648,-4.044044,-1.155970,-0.898193,-0.066291,-0.086315,-1.031670,-0.089520,-0.526239,-0.133935,-6956.092687,-7870.954016,-94076.225202,202751.526293,-7411.905898,43457.869344,122.424984,31.427898,0.000000,0.000000,-0.193819,-0.066998,-30.014527,-0.377601,-0.045771,0.035156,-5.464564,0.260291,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1.700000,341.771958,-1.836476,4996.098063,2.621785,-0.421593,-34.822701,1.195725,-2.190248,3.497572,1.413920,-0.664585,200.367114,7.605558,0.152217,0.245058,177.044434,7.605558,0.152217,0.245058,177.044434,201.684182,-3.659262,-4.216323,-1.205763,-1.039433,-0.068088,0.059032,-1.077321,-0.088956,-0.511883,-0.256577,-6385.881384,5382.986502,-98239.052866,-58047.089131,-20774.980819,-15991.678592,122.424981,31.428079,0.000000,0.000000,-0.206259,-0.066806,-30.024357,-0.396278,-0.056251,0.035197,-5.464269,0.260487,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1.800000,361.940376,-2.202402,4995.676431,2.696567,-0.484116,-34.475373,1.274365,-2.325527,-22.485769,-0.163303,-2.146251,200.272267,-5.616658,0.420801,-0.963393,20.334713,-5.616658,0.420801,-0.963393,20.334713,201.017446,-4.205468,-4.291582,-1.227870,-1.198505,-0.071113,0.003917,-1.078506,-0.093353,-0.561995,-0.254340,-6505.003119,357.225484,-98347.088435,57319.585810,-22494.706923,7773.353965,122.424977,31.428260,0.000000,0.000000,-0.214289,-0.066462,-30.039313,-0.424695,-0.058961,0.035263,-5.463821,0.260786,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1.900000,382.042120,-2.622949,4995.247273,2.592065,-0.534149,-36.729011,1.136054,-2.490670,3.117492,-1.800965,-1.231920,200.173799,21.500000,0.457200,-0.040431,13918.254337,21.500000,0.457200,-0.040431,13918.254337,200.645490,-4.794650,-4.417785,-1.264606,-1.368887,0.078072,0.110549,-1.023794,0.058246,-0.487364,-0.222478,-6798.975603,10080.777597,-93357.972772,-165259.374141,-20894.935476,-34910.140863,122.424972,31.428442,0.000000,0.000000,-0.207537,-0.066664,-30.018413,-0.384985,-0.059559,0.035188,-5.464448,0.260368,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
