eval/success_rate,time/total_timesteps,eval/mean_ep_length,model/parameters,model/extractor_type,eval/mean_reward,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success_rate,eval/seq_prediction_mse,time/iterations,rollout/ep_len_mean,eval/best_seq_prediction_mse,train/explained_variance,train/clip_range_vf,train/entropy_loss,train/std,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/loss,train/approx_kl,train/learning_rate,train/clip_range,train/value_loss
0.0,340000,174.7,,,-248.05233764648438,,,,,,,,,0.05542868375778198,0.3,-4.256815433502197,0.740818202495575,0.006526406854391098,0.2278594970703125,20,-0.025529053062200546,0.014257931,9.377408e-05,0.19344640000000002,0.19372125435620546
0.0,360000,325.6,,,-281.16839599609375,,,,,0.8263975322246552,,,,,,,,,,,,,,,
,360448,,,,,969,-289.30487060546875,371,0.0,0.7369715988636016,11,359.92,0.7369715988636016,,,,,,,,,,,,
0.0,380000,280.0,,,-261.77984619140625,,,,,,,,,0.031442105770111084,0.3,-4.256815433502197,0.740818202495575,0.007792399701429531,0.2205352783203125,22,-0.022948160767555237,0.012970621,9.3151488e-05,0.19279104000000002,0.1841165879741311
,393216,,,,,1037,-295.5111999511719,379,0.0,0.6986204981803894,12,384.68,0.6986204981803894,,,,,,,,,,,,
0.0,400000,322.1,,,-280.50103759765625,,,,,,,,,0.011273980140686035,0.3,-4.256815433502197,0.740818202495575,0.004933614676701836,0.1744842529296875,24,-0.029312774538993835,0.009881533,9.2528896e-05,0.19213568,0.20187250431627035
0.0,420000,307.3,,,-297.85186767578125,,,,,0.6496257871389389,,,0.6496257871389389,,,,,,,,,,,,
,425984,,,,,1151,-293.20867919921875,370,0.0,0.671250832080841,13,380.96,,,,,,,,,,,,,
0.0,440000,319.8,,,-274.24066162109375,,,,,,,,,0.03979671001434326,0.3,-4.256815433502197,0.740818202495575,0.0037474826094694436,0.1435089111328125,26,-0.02731238305568695,0.008041478,9.1906304e-05,0.19148032,0.19223944749683142
,458752,,,,,1222,-292.3506774902344,375,0.0,0.6842794388532638,14,377.66,,,,,,,,,,,,,
0.0,460000,223.9,,,-271.984375,,,,,,,,,0.04614919424057007,0.3,-4.256815433502197,0.740818202495575,0.004324460889620241,0.15069580078125,28,-0.031909916549921036,0.008449098,9.1283712e-05,0.19082496000000002,0.17404332291334867
0.0,480000,318.9,,,-292.7536315917969,,,,,0.7788037478923797,,,,,,,,,,,,,,,
,491520,,,,,1321,-288.0826721191406,371,0.0,0.6257050186395645,15,374.25,0.6257050186395645,,,,,,,,,,,,
0.0,500000,309.9,,,-271.8116455078125,,,,,,,,,0.06487500667572021,0.3,-4.256815433502197,0.740818202495575,0.00384672153450083,0.1603546142578125,30,-0.032557860016822815,0.008922548,9.066112000000001e-05,0.19016960000000002,0.16492658108472824
0.0,520000,222.3,,,-252.8681640625,,,,,0.6959658622741699,,,,,,,,,,,,,,,
,524288,,,,,1423,-292.1350402832031,368,0.0,0.67564497590065,16,370.41,,,,,,,,,,,,,
0.0,540000,319.2,,,-262.1219177246094,,,,,,,,,0.09206610918045044,0.3,-4.256815433502197,0.740818202495575,0.004992216170649044,0.1456298828125,32,-0.033781908452510834,0.007539993,9.0038528e-05,0.18951424,0.1575735006481409
,557056,,,,,1497,-279.40301513671875,371,0.0,0.5260383039712906,17,356.26,0.5260383039712906,,,,,,,,,,,,
0.0,560000,356.1,,,-290.94488525390625,,,,,,,,,0.07142454385757446,0.3,-4.256815433502197,0.740818202495575,0.003475533245364204,0.1282196044921875,34,-0.04365688934922218,0.0071095144,8.9415936e-05,0.18885888,0.14344830345362425
0.0,580000,253.4,,,-268.62322998046875,,,,,0.6644607961177826,,,,,,,,,,,,,,,
,589824,,,,,1602,-287.2461853027344,368,0.0,0.6416626632213592,18,366.72,,,,,,,,,,,,,
0.0,600000,289.2,,,-285.3733215332031,,,,,,,,,0.07993710041046143,0.3,-4.256815433502197,0.740818202495575,0.003149594005662948,0.1430816650390625,36,-0.04422738403081894,0.008583461,8.879334400000001e-05,0.18820352,0.14016971457749605
0.0,620000,349.4,,,-307.2049865722656,,,,,0.5544488817453385,,,,,,,,,,,,,,,
,622592,,,,,1715,-273.99957275390625,363,0.0,0.5398574411869049,19,355.95,,,,,,,,,,,,,
0.0,640000,289.3,,,-279.47979736328125,,,,,,,,,0.0725942850112915,0.3,-4.256815433502197,0.740818202495575,0.0056982636015163735,0.16400146484375,38,-0.035638973116874695,0.008833865,8.8170752e-05,0.18754816000000002,0.15695474669337273
,655360,,,,,1785,-277.7642822265625,366,0.0,0.5908800899982453,20,370.37,,,,,,,,,,,,,
0.0,660000,326.0,,,-287.4984436035156,,,,,,,,,0.10046416521072388,0.3,-4.256815433502197,0.740818202495575,0.005219915881752968,0.1558990478515625,40,-0.028878677636384964,0.007079836,8.754816000000001e-05,0.18689280000000003,0.17736496683210135
0.0,680000,239.5,,,-269.51458740234375,,,,,0.6631429761648178,,,,,,,,,,,,,,,
,688128,,,,,1888,-283.4541931152344,364,0.0,0.6888737916946411,21,377.24,,,,,,,,,,,,,
0.0,700000,289.5,,,-257.70684814453125,,,,,,,,,0.07229840755462646,0.3,-4.256815433502197,0.740818202495575,0.0021553265978582203,0.109222412109375,42,-0.01651211827993393,0.006079302,8.6925568e-05,0.18623744,0.1877437299117446
0.0,720000,253.0,,,-250.47079467773438,,,,,0.6487051278352738,,,,,,,,,,,,,,,
,720896,,,,,1983,-280.3978576660156,363,0.0,0.6286849528551102,22,377.21,,,,,,,,,,,,,
0.0,740000,326.0,,,-262.82379150390625,,,,,,,,,0.058907389640808105,0.3,-4.256815433502197,0.740818202495575,0.0029295537678990513,0.1001739501953125,44,-0.0228223018348217,0.0056385817,8.6302976e-05,0.18558208,0.19045541621744633
,753664,,,,,2057,-288.8043518066406,366,0.0,0.62187060713768,23,384.55,,,,,,,,,,,,,
0.0,760000,217.0,,,-236.8060302734375,,,,,,,,,0.04622066020965576,0.3,-4.256815433502197,0.740818202495575,0.0013728529011132196,0.0849609375,46,-0.021408654749393463,0.0047478806,8.5680384e-05,0.18492672000000002,0.19134013913571835
0.0,780000,289.5,,,-276.9601745605469,,,,,0.6856063067913055,,,,,,,,,,,,,,,
,786432,,,,,2156,-288.31182861328125,364,0.0,0.6144257932901382,24,391.9,,,,,,,,,,,,,
0.0,800000,326.1,,,-281.4148864746094,,,,,,,,,0.05516326427459717,0.3,-4.256815433502197,0.740818202495575,0.0023119231482269242,0.079681396484375,48,-0.02274666726589203,0.0046314616,8.5057792e-05,0.18427136,0.19283193442970514
,819200,,,,,2232,-292.0552673339844,366,0.0,0.6119041919708252,25,395.61,,,,,,,,,,,,,
0.0,820000,289.8,,,-255.50277709960938,,,,,,,,,0.04871094226837158,0.3,-4.256815433502197,0.740818202495575,0.0015342685946961865,0.066009521484375,50,-0.024611521512269974,0.0040549096,8.44352e-05,0.183616,0.1939069302752614
0.0,840000,253.4,,,-250.6390380859375,,,,,0.6138627141714096,,,,,,,,,,,,,,,
,851968,,,,,2333,-290.4464111328125,365,0.0,0.6502639800310135,26,384.76,,,,,,,,,,,,,
0.0,860000,362.6,,,-306.55596923828125,,,,,,,,,0.06427586078643799,0.3,-4.256815433502197,0.740818202495575,0.0014744278450962156,0.053131103515625,52,-0.030430573970079422,0.0036438224,8.3812608e-05,0.18296064,0.18474503327161074
0.0,880000,216.8,,,-240.04421997070312,,,,,0.6168714255094528,,,,,,,,,,,,,,,
,884736,,,,,2438,-291.4768371582031,362,0.0,0.5489647388458252,27,388.22,,,,,,,,,,,,,
0.0,900000,326.2,,,-272.7579345703125,,,,,,,,,0.06715250015258789,0.3,-4.256815433502197,0.740818202495575,0.0017194503743667156,0.0821990966796875,54,-0.03125506266951561,0.0043525873,8.319001600000001e-05,0.18230528000000001,0.17324134148657322
,917504,,,,,2511,-289.2968444824219,365,0.0,0.6998740762472153,28,395.48,,,,,,,,,,,,,
0.0,920000,289.8,,,-264.5914611816406,,,,,,,,,0.06382137537002563,0.3,-4.256815433502197,0.740818202495575,0.0013905942032579333,0.07049560546875,56,-0.03839581087231636,0.004501269,8.2567424e-05,0.18164992000000002,0.16579995583742857
0.0,940000,289.8,,,-278.0534362792969,,,,,0.623703932762146,,,,,,,,,,,,,,,
,950272,,,,,2617,-293.08953857421875,363,0.0,0.6831125020980835,29,395.36,,,,,,,,,,,,,
0.0,960000,326.2,,,-272.46282958984375,,,,,,,,,0.08790856599807739,0.3,-4.256815433502197,0.740818202495575,0.001259374686924275,0.0842742919921875,58,-0.03567451238632202,0.0055044014,8.194483200000001e-05,0.18099456000000003,0.16082770563662052
0.0,980000,328.8,,,-287.7373352050781,,,,,0.6460704058408737,,,,,,,,,,,,,,,
,983040,,,,,2731,-293.58709716796875,359,0.0,0.6612598389387131,30,391.68,,,,,,,,,,,,,
0.0,1000000,399.0,,,-288.5549621582031,,,,,,,,,0.08443319797515869,0.3,-4.256815433502197,0.740818202495575,0.0015811710036359727,0.0598602294921875,60,-0.03579935058951378,0.0038616322,8.132224000000001e-05,0.1803392,0.1552443066611886
,1015808,,,,,2812,-289.5067138671875,361,0.0,0.60555399954319,31,399.0,,,,,,,,,,,,,
0.0,1020000,144.3,,,-223.77426147460938,,,,,,,,,0.06411778926849365,0.3,-4.256815433502197,0.740818202495575,0.0005624351470032707,0.0594024658203125,62,-0.0455261692404747,0.004012963,8.069964800000001e-05,0.17968384,0.14916037488728762
0.0,1040000,289.8,,,-273.91815185546875,,,,,0.7138452351093292,,,,,,,,,,,,,,,
,1048576,,,,,2905,-292.2773132324219,360,0.0,0.6581104159355163,32,399.0,,,,,,,,,,,,,
