rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,model/extractor_type,time/total_timesteps,time/iterations,model/parameters,train/learning_rate,train/value_loss,train/loss,train/entropy_loss,train/n_updates,train/clip_range,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/std,train/clip_range_vf,train/clip_fraction,eval/mean_reward,eval/mean_ep_length,eval/success_rate,eval/seq_prediction_mse,eval/best_seq_prediction_mse
0.1,-163.18539428710938,32.1,4,918,"TransformerFeaturesExtractor",4096,1,5865051,,,,,,,,,,,,,,,,,
0.02564102564102564,-201.7947540283203,142.82051282051282,12,648,,8192,2,,9.9922176e-05,1.8282645816507284,0.6863194704055786,-4.256815433502197,4,0.19991808,-0.1730518341064453,0.6864164,0.17305670649147942,0.740818202495575,0.2,0.8330078125,,,,,
0.015384615384615385,-212.0733184814453,164.64615384615385,20,593,,12288,3,,9.9844352e-05,1.4394851521938108,0.8489550352096558,-4.256815433502197,8,0.19983616,0.0020536184310913086,0.063120276,0.03649198836137657,0.740818202495575,0.2,0.46282958984375,,,,,
0.011363636363636364,-215.97256469726562,175.13636363636363,28,569,,16384,4,,9.976652800000001e-05,1.2665704177925363,0.7839676737785339,-4.256815433502197,12,0.19975424000000003,0.0025038719177246094,0.029966198,0.012979808114323532,0.740818202495575,0.2,0.35394287109375,,,,,
,,,,,,20000,,,9.9688704e-05,1.0458420284558088,0.42373621463775635,-4.256815433502197,16,0.19967232000000001,0.15793699026107788,0.06578927,0.02329099906637566,0.740818202495575,0.2,0.43963623046875,-229.99655151367188,184.9,0.0,,
0.01,-217.85133361816406,176.85,57,353,,20480,5,,,,,,,,,,,,,,,,,1.3086755096912384,1.3086755096912384
0.01,-217.40557861328125,164.91,66,372,,24576,6,,9.961088000000001e-05,0.9177856270398479,0.32265955209732056,-4.256815433502197,20,0.1995904,0.14970320463180542,0.05387319,0.024117274311720394,0.740818202495575,0.2,0.42864990234375,,,,,
0.01,-215.39468383789062,155.23,74,387,,28672,7,,9.9533056e-05,1.2034215100575238,0.3016684949398041,-4.256815433502197,24,0.19950848000000002,0.2916075587272644,0.029059215,0.013710685936530354,0.740818202495575,0.2,0.32415771484375,,,,,
0.01,-215.30194091796875,153.53,82,399,,32768,8,,9.9455232e-05,1.1811786908656359,0.6900513768196106,-4.256815433502197,28,0.19942656,0.2884429097175598,0.029194973,0.01246939610427944,0.740818202495575,0.2,0.320068359375,,,,,
0.0,-218.22894287109375,155.07,90,408,,36864,9,,9.9377408e-05,0.9174131593317725,0.4987961947917938,-4.256815433502197,32,0.19934464000000002,0.30369651317596436,0.02906584,0.018131821168935858,0.740818202495575,0.2,0.31561279296875,,,,,
,,,,,,40000,,,9.929958400000001e-05,1.207293781626504,0.3034324645996094,-4.256815433502197,36,0.19926272,0.20537680387496948,0.025349129,0.011017946813808521,0.740818202495575,0.2,0.26507568359375,-231.83837890625,223.3,0.1,,
0.0,-223.69906616210938,168.91,121,337,,40960,10,,,,,,,,,,,,,,,,,1.1873097538948059,1.1873097538948059
0.02,-218.83546447753906,161.89,130,345,,45056,11,,9.922176e-05,0.6934991807502229,-0.009893514215946198,-4.256815433502197,40,0.19918080000000002,0.29915714263916016,0.019998416,0.006816077890107408,0.740818202495575,0.2,0.2474365234375,,,,,
0.02,-220.2449188232422,162.61,138,354,,49152,12,,9.914393600000001e-05,1.048499949858524,0.029066123068332672,-4.256815433502197,44,0.19909888,0.36058324575424194,0.024388188,0.010254679415083956,0.740818202495575,0.2,0.26953125,,,,,
0.04,-215.88429260253906,158.24,147,362,,53248,13,,9.9066112e-05,0.8097034978563897,0.6638256907463074,-4.256815433502197,48,0.19901696000000002,0.4183557629585266,0.01709285,0.006202576852956554,0.740818202495575,0.2,0.19439697265625,,,,,
0.03,-214.7920684814453,149.39,155,369,,57344,14,,9.8988288e-05,0.9212910808273591,0.45056039094924927,-4.256815433502197,52,0.19893504,0.4289052486419678,0.018338613,0.009375199053465622,0.740818202495575,0.2,0.27899169921875,,,,,
,,,,,,60000,,,9.891046400000002e-05,1.3013350226101466,0.5209871530532837,-4.256815433502197,56,0.19885312000000002,0.39959049224853516,0.017242651,0.010159477769775549,0.740818202495575,0.2,0.2406005859375,-212.1805877685547,113.3,0.0,,
0.02,-217.2641143798828,152.3,180,340,,61440,15,,,,,,,,,,,,,,,,,1.1436155676841735,1.1436155676841735
0.0,-217.83370971679688,137.28,189,344,,65536,16,,9.883264000000001e-05,0.888737231871346,0.2912457287311554,-4.256815433502197,60,0.1987712,0.3754010796546936,0.010124535,0.0046696940044057555,0.740818202495575,0.2,0.1614990234375,,,,,
